ParticipantID;1. I felt annoyed;2. I enjoyed it;3. I felt irritable;4. I lost track of time;5. I felt competent;6. I was deeply concentrated in the game;7. I felt frustrated;8. I lost connection with the outside world;9. I felt content;10. I felt skilful;11. I thought it was fun;12. I was fully occupied with the game;13. I felt happy;14. It gave me a bad mood;15. I thought about other things;16. I found it tiresome;17. I felt good at it ;18. I felt successful;19. I forgot everything around me;20. I felt good;21. I felt bored;22. I was fast at reaching the game's targets
1;2;3;2;3;4;1;3;3;3;3;4;3;3;0;1;1;2;2;3;3;2;0
2;2;2;2;3;1;4;3;4;1;1;2;3;2;0;0;2;1;2;3;2;0;3
3;1;3;1;4;4;4;1;1;3;0;3;2;3;0;1;1;3;1;1;2;1;3
4;1;3;0;3;3;3;1;2;2;1;3;3;3;0;0;1;2;2;2;3;1;2
5;0;3;0;2;4;3;0;2;3;1;3;3;3;0;1;0;1;2;2;2;1;2
6;1;3;1;3;4;2;1;1;2;1;2;2;2;1;0;1;1;2;2;1;1;3
7;0;3;0;3;4;2;1;1;2;2;3;3;3;0;1;1;2;2;1;3;1;3
8;0;3;0;0;4;2;0;0;3;2;3;2;3;0;1;1;2;1;0;3;1;2
9;0;3;0;2;4;2;0;1;4;2;4;4;3;0;1;0;2;3;1;3;0;2
10;0;3;0;2;4;3;0;0;3;3;3;3;3;0;0;0;2;2;0;2;0;4
11;0;3;0;2;4;2;1;3;3;2;3;3;3;0;1;0;3;3;2;3;0;3
12;0;4;0;3;3;4;0;0;3;1;4;2;3;0;0;0;2;2;0;2;0;2
13;0;3;0;1;3;2;0;0;1;0;2;2;2;0;0;0;2;2;0;2;0;2
14;1;3;1;3;3;2;1;1;2;1;2;2;2;1;0;1;2;2;1;3;1;2
15;1;3;0;3;4;3;0;1;3;3;4;3;3;0;3;0;3;3;1;3;1;3
16;2;3;1;0;3;2;1;0;2;2;3;1;2;0;1;1;2;2;0;2;1;1
17;2;3;1;3;4;3;1;2;2;3;3;3;3;1;1;1;3;2;2;3;1;2
18;0;4;0;3;3;2;0;3;4;2;4;3;4;0;0;0;2;2;3;4;0;3
19;0;3;0;1;3;1;0;0;2;1;4;2;2;0;1;0;2;2;1;2;0;3
20;3;3;1;1;2;3;1;0;3;1;3;2;3;0;0;1;1;3;1;3;1;2
21;0;4;0;3;3;3;0;3;3;1;3;4;3;0;1;0;2;2;2;3;0;2
22;0;2;2;2;4;2;2;3;3;1;2;3;2;0;1;3;1;2;1;2;2;2
23;1;3;0;2;2;3;1;3;3;2;4;3;4;0;1;1;2;3;1;3;1;4
